Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 23.02, 0.26,1.14, 3789142, .2,
ADBE, Adobe Systems Incorporated, 73.6, 0.29,0.4, 1879365, .1,
AKAM, Akamai Technologies Inc., 71.9, 0.61,0.86, 971792, .1,
ALXN, Alexion Pharmaceuticals Inc., 180.26, -0.33,-0.18, 1179616, -.1,
ALTR, Altera Corporation, 42.82, -1.57,-3.54, 35491665, -.4,
AMZN, Amazon.com Inc., 374.59, 4.03,1.09, 1819084, 1.6,
AAL, American Airlines Group Inc., 53.64, 0.98,1.86, 8166482, .0,
AMGN, Amgen Inc., 164.305, 1.715,1.05, 2385986, 1.1,
ADI, Analog Devices Inc., 64.81, 5.97,10.15, 10492443, 1.6,
AAPL, Apple Inc., 126.37, 3.12,2.53, 47068200, 2.4,
AMAT, Applied Materials Inc., 22.77, -0.06,-0.26, 19350480, -.1,
ADSK, Autodesk Inc., 59.3, 0.58,0.99, 4237551, .1,
ADP, Automatic Data Processing Inc., 85.89, 1.26,1.49, 1138770, .5,
AVGO, Avago Technologies Limited, 130.55, 2.34,1.83, 1952218, .5,
BIDU, Baidu Inc., 210.54, 3.21,1.55, 2056934, .8,
BBBY, Bed Bath &amp; Beyond Inc., 76.43, 0.97,1.29, 1521246, .2,
BIIB, Biogen Inc., 431.62, 1.75,0.41, 1599107, .4,
BRCM, Broadcom Corporation, 44.115, 1.205,2.81, 7520718, .6,
CHRW, C.H. Robinson Worldwide Inc., 73.2, 0.175,0.24, 1699947, .0,
CA, CA Inc., 32.71, 0.42,1.3, 1781458, .2,
CTRX, Catamaran Corporation, 59.83, 11.51,23.82, 41389471, 2.1,
CELG, Celgene Corporation, 120.02, 1.34,1.13, 5208821, .5,
CERN, Cerner Corporation, 74.11, 0.83,1.13, 922105, .3,
CHTR, Charter Communications Inc., 183.39, 3.39,1.88, 531394, .3,
CHKP, Check Point Software Technologies Ltd., 83.48, 1.115,1.35, 819473, .2,
CSCO, Cisco Systems Inc., 27.65, 0.52,1.92, 29050953, 2.3,
CTXS, Citrix Systems Inc., 64.02, 0.41,0.64, 1085422, .1,
CTSH, Cognizant Technology Solutions Corporation, 63.34, 0.34,0.54, 2591581, .2,
CMCSA, Comcast Corporation, 56.61, 0.92,1.65, 13441763, 1.7,
CMCSK, Comcast Corporation, 56.24, 0.83,1.5, 2085814, .0,
COST, Costco Wholesale Corporation, 152.365, 1.895,1.26, 1463092, .7,
DTV, DIRECTV, 85.81, 0.49,0.57, 1473565, .2,
DISCA, Discovery Communications Inc., 31.09, -0.18,-0.58, 2482648, .0,
DISCK, Discovery Communications Inc., 29.79, 0.02,0.07, 926008, .0,
DISH, DISH Network Corporation, 70.78, 0.15,0.21, 988235, .0,
DLTR, Dollar Tree Inc., 81.81, 0.095,0.12, 1967807, .0,
EBAY, eBay Inc., 57.925, 0.295,0.51, 4758392, .3,
EA, Electronic Arts Inc., 59.47, 1.235,2.12, 4116219, .0,
EXPD, Expeditors International of Washington Inc., 48.44, 0.47,0.98, 880796, .1,
ESRX, Express Scripts Holding Company, 85.405, 3.025,3.67, 5928662, 2.0,
FB, Facebook Inc., 83.195, -0.105,-0.13, 24518064, -.2,
FAST, Fastenal Company, 41.8, 0.63,1.53, 1577324, .2,
FISV, Fiserv Inc., 79.73, 1.33,1.7, 602207, .3,
GRMN, Garmin Ltd., 48.13, 0.47,0.99, 649744, .1,
GILD, Gilead Sciences Inc., 100.69, -0.31,-0.31, 9966649, -.4,
GOOG, Google Inc., 552.03, 3.69,0.67, 1282675, .9,
GOOGL, Google Inc., 561.135, 3.585,0.64, 1239074, .0,
HSIC, Henry Schein Inc., 140.84, 2.04,1.47, 390596, .2,
ILMN, Illumina Inc., 187.62, 0.45,0.24, 784029, .1,
INTC, Intel Corporation, 31.46, -0.54,-1.69, 51368033, -2.3,
INTU, Intuit Inc., 98.23, 1.17,1.21, 875391, .3,
ISRG, Intuitive Surgical Inc., 506.16, 8.91,1.79, 198729, .3,
GMCR, Keurig Green Mountain Inc., 113.96, 0.76,0.67, 2402823, .1,
KLAC, KLA-Tencor Corporation, 59.405, 0.405,0.69, 1133856, .1,
KRFT, Kraft Foods Group Inc., 90.61, 1.51,1.69, 20091734, .8,
LRCX, Lam Research Corporation, 72.19, 0.15,0.21, 2082059, .0,
LBTYA, Liberty Global plc, 51.685, 0.175,0.34, 1752715, .0,
LBTYK, Liberty Global plc, 49.9, 0.33,0.67, 2237590, .0,
LVNTA, Liberty Interactive Corporation, 41.37, -0.185,-0.45, 588426, .0,
QVCA, Liberty Interactive Corporation, 29.35, 0.4,1.38, 971633, .0,
LMCA, Liberty Media Corporation, 38.47, 0.43,1.13, 499472, .0,
LMCK, Liberty Media Corporation, 38.01, 0.3,0.8, 772156, .0,
LLTC, Linear Technology Corporation, 47.59, 0.91,1.95, 2791107, .2,
MAR, Marriott International, 81.5, 0.68,0.84, 1082001, .2,
MAT, Mattel Inc., 22.65, 0.04,0.18, 5161896, .0,
MU, Micron Technology Inc., 26.68, 0.005,0.02, 26122893, .0,
MSFT, Microsoft Corporation, 40.96, -0.01,-0.02, 35015572, -.1,
MDLZ, Mondelez International Inc., 36.5, 0.95,2.67, 14380618, 1.5,
MNST, Monster Beverage Corporation, 140.44, 2.45,1.78, 844444, .4,
MYL, Mylan N.V., 60, -1.63,-2.64, 9991074, -.5,
NTAP, NetApp Inc., 35.38, 0.28,0.8, 3438828, .1,
NFLX, Netflix Inc., 422.57, 7.8,1.88, 1894969, .4,
NVDA, NVIDIA Corporation, 21.47, 0.09,0.42, 6327863, .0,
NXPI, NXP Semiconductors N.V., 102.43, 2.51,2.51, 3731342, .6,
ORLY, O'Reilly Automotive Inc., 219.38, 3.96,1.84, 657602, .4,
PCAR, PACCAR Inc., 63.45, 1.28,2.06, 1017807, .4,
PAYX, Paychex Inc., 50.01, 0.46,0.93, 1351693, .2,
QCOM, QUALCOMM Incorporated, 68.88, 1.855,2.77, 11401543, 2.7,
REGN, Regeneron Pharmaceuticals Inc., 459.78, 5.28,1.16, 640317, .5,
ROST, Ross Stores Inc., 105.74, 1.61,1.55, 834351, .3,
SNDK, SanDisk Corporation, 64.98, 0.39,0.6, 5199046, .1,
SBAC, SBA Communications Corporation, 120.19, -0.55,-0.46, 952933, -.1,
STX, Seagate Technology., 53.08, 0.32,0.61, 2207041, .1,
SIAL, Sigma-Aldrich Corporation, 138.41, 0.2,0.14, 443024, .0,
SIRI, Sirius XM Holdings Inc., 3.87, 0.02,0.52, 18364057, .1,
SPLS, Staples Inc., 16.7, 0.585,3.63, 9018354, .3,
SBUX, Starbucks Corporation, 95.98, 0.91,0.96, 3412665, .6,
SRCL, Stericycle Inc., 140.86, 1.9,1.37, 282867, .1,
SYMC, Symantec Corporation, 23.55, 0.195,0.83, 3222581, .1,
TSLA, Tesla Motors Inc., 190.57, 5.57,3.01, 10083885, .6,
TXN, Texas Instruments Incorporated, 58, 1.24,2.18, 5331296, 1.2,
PCLN, The Priceline Group Inc., 1149.83, 14.64,1.29, 469798, .7,
TSCO, Tractor Supply Company, 86.575, 0.405,0.47, 681790, .1,
TRIP, TripAdvisor Inc., 83.61, -0.18,-0.21, 1096058, .0,
FOX, Twenty-First Century Fox Inc., 33.15, 0.415,1.27, 3447489, .0,
FOXA, Twenty-First Century Fox Inc., 34.26, 0.56,1.66, 10907486, .7,
VRSK, Verisk Analytics Inc., 71.16, 0.68,0.96, 714910, .1,
VRTX, Vertex Pharmaceuticals Incorporated, 121.25, 0.91,0.76, 1263642, .2,
VIAB, Viacom Inc., 68.14, 0.29,0.43, 1909281, .1,
VIP, VimpelCom Ltd., 5.35, 0.14,2.69, 865912, .2,
VOD, Vodafone Group Plc, 33.22, -0.24,-0.72, 2714137, -.1,
WBA, Walgreens Boots Alliance Inc., 85.99, 0.7,0.82, 4232092, .0,
WDC, Western Digital Corporation, 92.93, 0.2,0.22, 1785920, .0,
WFM, Whole Foods Market Inc., 52.35, 0.42,0.81, 2208468, .1,
WYNN, Wynn Resorts Limited, 127.46, 1.21,0.96, 1160316, .1,
XLNX, Xilinx Inc., 42.68, 0.36,0.85, 12963021, .1,
YHOO, Yahoo! Inc., 44.95, -0.15,-0.33, 8880982, -.1,
